"","PID","DateSold","SalePrice","logSalePrice","Rate","LotArea","GrLivArea","Neighborhood","Neighborhood_Int","MSZoning_Int","CentralAir","Age","RemodSinceBuilt","StreetAlley","LotShape","LandContour","LandSlope","LotConfig","IsOnMainroad","IsNearRailroad","IsNearPark","MSSubClass","MSZoning","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition"
"1",904302020,2006-01-01,80000,4.90308998699194,4.4106,5220,879,"SWISU","6","6","1",70,14,"1","1","1","0","1","0","0","0",30,"RL","1Fam","1Story",5,3,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,830,830,"GasA","Gd","SBrkr",879,0,0,0,0,1,0,2,1,"TA",4,"Typ",0,"NoFireplace","Detchd",1936,"Unf",1,180,"TA","TA","P",0,108,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"2",532378050,2006-01-01,120875,5.08233648709106,4.4106,13052,1024,"Sawyer","8","6","1",41,0,"1","1","1","0","4","0","0","0",20,"RL","1Fam","1Story",5,6,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",712,"Unf",0,312,1024,"GasA","TA","SBrkr",1024,0,0,0,0,1,1,3,1,"TA",5,"Typ",0,"NoFireplace","Attchd",1965,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"3",534275010,2006-01-01,136500,5.13513265137678,4.4106,10659,1050,"NAmes","11","6","1",45,0,"1","1","1","0","1","0","0","0",20,"RL","1Fam","1Story",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",915,"Unf",0,135,1050,"GasA","TA","SBrkr",1050,0,0,1,0,1,0,3,1,"TA",6,"Typ",0,"NoFireplace","Attchd",1961,"Unf",1,368,"TA","TA","Y",0,319,0,0,0,0,"NoPool","NoFence","NoMisc",0,"COD","Normal"
"4",531363080,2006-01-01,139500,5.14457420760962,4.4106,7733,1142,"SawyerW","13","6","1",1,0,"1","1","1","0","1","0","0","0",20,"RL","1Fam","1Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","Mn","GLQ",24,"Unf",0,1118,1142,"GasA","Ex","SBrkr",1142,0,0,0,0,1,1,3,1,"Gd",5,"Typ",0,"NoFireplace","NoGarage",2005,"NoGarage",0,0,"NoGarage","NoGarage","Y",4,50,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"5",535304020,2006-01-01,139500,5.14457420760962,4.4106,12778,1008,"NAmes","11","6","1",54,51,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",658,"Unf",0,350,1008,"GasA","Ex","FuseA",1008,0,0,1,0,1,0,2,1,"TA",4,"Typ",0,"NoFireplace","Attchd",1952,"RFn",1,280,"TA","TA","Y",0,154,0,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"6",527250040,2006-01-01,145000,5.16136800223498,4.4106,34650,1056,"Gilbert","14","6","0",51,0,"1","0","2","0","1","0","0","0",190,"RL","2fmCon","1Story",5,5,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","Rec",1056,"Unf",0,0,1056,"GasA","TA","SBrkr",1056,0,0,1,0,1,0,3,1,"TA",5,"Typ",0,"NoFireplace","Attchd",1955,"Fin",2,572,"TA","TA","Y",264,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"7",905200290,2006-01-01,155000,5.19033169817029,4.4106,13125,1803,"Sawyer","8","6","1",49,43,"1","0","1","0","2","0","0","0",20,"RL","1Fam","1Story",5,4,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkCmn",67,"TA","TA","CBlock","TA","TA","No","Rec",168,"BLQ",682,284,1134,"GasA","Ex","SBrkr",1803,0,0,1,0,2,0,3,1,"TA",8,"Maj1",1,"TA","Attchd",1957,"RFn",2,484,"TA","TA","Y",0,0,0,0,0,0,"NoPool","GdPrv","NoMisc",0,"WD ","Normal"
"8",528275060,2006-01-01,172400,5.23653726148869,4.4106,8121,1664,"Gilbert","14","6","1",6,0,"1","1","1","0","1","0","0","0",60,"RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,953,953,"GasA","Ex","SBrkr",953,711,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"RFn",2,460,"TA","TA","Y",100,40,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"9",527377030,2006-01-01,181000,5.25767857486918,4.4106,10140,1309,"NWAmes","15","6","1",32,25,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",6,6,"Hip","CompShg","HdBoard","HdBoard","BrkFace",99,"TA","TA","CBlock","TA","TA","No","ALQ",663,"LwQ",377,0,1040,"GasA","Fa","SBrkr",1309,0,0,1,0,1,1,3,1,"Gd",5,"Typ",1,"Fa","Attchd",1974,"RFn",2,484,"TA","TA","Y",265,0,0,0,0,648,"Fa","GdPrv","NoMisc",0,"WD ","Normal"
"10",907196020,2006-01-01,205000,5.31175386105575,4.4106,13704,1541,"CollgCr","18","6","1",5,1,"1","1","1","0","2","0","0","0",20,"RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",150,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1541,1541,"GasA","Ex","SBrkr",1541,0,0,0,0,2,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",3,843,"TA","TA","Y",468,81,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
