"","PID","DateSold","SalePrice","logSalePrice","Rate","LotArea","GrLivArea","Neighborhood","Neighborhood_Int","MSZoning_Int","CentralAir","Age","RemodSinceBuilt","StreetAlley","LotShape","LandContour","LandSlope","LotConfig","IsOnMainroad","IsNearRailroad","IsNearPark","MSSubClass","MSZoning","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","IsPUD","NumFloors","Collapse_MSSubClass","Combine_BathroomsBsmt","Combine_BathroomsAbvGrd","AllBathrooms","Combine_Age","IsRenovated"
"1",904302020,2006-01-01,80000,4.90308998699194,4.4106,5220,879,"SWISU","6","6","1",70,14,"1","1","1","0","1","0","0","0","Dwelling_30","RL","1Fam","1Story",5,3,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,830,830,"GasA",4,"SBrkr",879,0,0,0,0,1,0,2,1,3,4,8,0,0,"Detchd",1936,"Unf",1,180,3,3,2,0,108,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1,1,56,TRUE
"2",532378050,2006-01-01,120875,5.08233648709106,4.4106,13052,1024,"Sawyer","8","6","1",41,0,"1","1","1","0","4","0","0","0","Dwelling_20","RL","1Fam","1Story",5,6,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,3,712,1,0,312,1024,"GasA",3,"SBrkr",1024,0,0,0,0,1,1,3,1,3,5,8,0,0,"Attchd",1965,"Unf",1,308,3,3,3,0,0,0,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1.5,1.5,41,FALSE
"3",534275010,2006-01-01,136500,5.13513265137678,4.4106,10659,1050,"NAmes","11","6","1",45,0,"1","1","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,3,915,1,0,135,1050,"GasA",3,"SBrkr",1050,0,0,1,0,1,0,3,1,3,6,8,0,0,"Attchd",1961,"Unf",1,368,3,3,3,0,319,0,0,0,0,0,"NoFence","NoMisc",0,"COD","Normal",FALSE,1,"Traditional",1,1,2,45,FALSE
"4",531363080,2006-01-01,139500,5.14457420760962,4.4106,7733,1142,"SawyerW","13","6","1",1,0,"1","1","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,2,6,24,1,0,1118,1142,"GasA",5,"SBrkr",1142,0,0,0,0,1,1,3,1,4,5,8,0,0,"NoGarage",2005,"NoGarage",0,0,0,0,3,4,50,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1.5,1.5,1,FALSE
"5",535304020,2006-01-01,139500,5.14457420760962,4.4106,12778,1008,"NAmes","11","6","1",54,51,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,1,6,658,1,0,350,1008,"GasA",5,"FuseA",1008,0,0,1,0,1,0,2,1,3,4,8,0,0,"Attchd",1952,"RFn",1,280,3,3,3,0,154,0,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,1,2,3,TRUE
"6",527250040,2006-01-01,145000,5.16136800223498,4.4106,34650,1056,"Gilbert","14","6","0",51,0,"1","0","2","0","1","0","0","0","Dwelling_190","RL","2fmCon","1Story",5,5,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,2,3,1056,1,0,0,1056,"GasA",3,"SBrkr",1056,0,0,1,0,1,0,3,1,3,5,8,0,0,"Attchd",1955,"Fin",2,572,3,3,3,264,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Duplex",1,1,2,51,FALSE
"7",905200290,2006-01-01,155000,5.19033169817029,4.4106,13125,1803,"Sawyer","8","6","1",49,43,"1","0","1","0","2","0","0","0","Dwelling_20","RL","1Fam","1Story",5,4,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkCmn",67,3,3,"CBlock",3,3,1,3,168,4,682,284,1134,"GasA",5,"SBrkr",1803,0,0,1,0,2,0,3,1,3,8,4,1,3,"Attchd",1957,"RFn",2,484,3,3,3,0,0,0,0,0,0,0,"GdPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,2,3,6,TRUE
"8",528275060,2006-01-01,172400,5.23653726148869,4.4106,8121,1664,"Gilbert","14","6","1",6,0,"1","1","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,1,1,0,1,0,953,953,"GasA",5,"SBrkr",953,711,0,0,0,2,1,3,1,3,7,8,1,3,"Attchd",2000,"RFn",2,460,3,3,3,100,40,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,6,FALSE
"9",527377030,2006-01-01,181000,5.25767857486918,4.4106,10140,1309,"NWAmes","15","6","1",32,25,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",6,6,"Hip","CompShg","HdBoard","HdBoard","BrkFace",99,3,3,"CBlock",3,3,1,5,663,2,377,0,1040,"GasA",2,"SBrkr",1309,0,0,1,0,1,1,3,1,4,5,8,1,2,"Attchd",1974,"RFn",2,484,3,3,3,265,0,0,0,0,648,1,"GdPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,1.5,2.5,7,TRUE
"10",907196020,2006-01-01,205000,5.31175386105575,4.4106,13704,1541,"CollgCr","18","6","1",5,1,"1","1","1","0","2","0","0","0","Dwelling_20","RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",150,4,3,"PConc",4,3,1,1,0,1,0,1541,1541,"GasA",5,"SBrkr",1541,0,0,0,0,2,0,3,1,4,6,8,1,3,"Attchd",2001,"RFn",3,843,3,3,3,468,81,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,2,2,4,TRUE
