"","PID","logSalePrice","GrLivArea","LotArea","Neighborhood_Int","Neighborhood","Age","StreetAlley","RemodSinceBuilt","LotShape","LandContour","LandSlope","LotConfig","IsOnMainroad","IsNearPark","IsNearRailroad","BsmtQual","RoofStyle","OverallQual","OverallCond","ExterQual","Exterior1st","Exterior2nd","BsmtExposure","Rate","BldgType","MSZoning","Foundation","TotalBsmtSF","Heating","KitchenQual","Fireplaces","GarageType","GarageQual","GarageCond","GarageFinish","GarageCars","KitchenAbvGr","PavedDrive","EnclosedPorch","SaleCondition","ScreenPorch","HouseStyle","BsmtFullBath","AllBathrooms","FullBath","FireplaceQu","Functional","TotRmsAbvGrd","BedroomAbvGr","HeatingQC","CentralAir","MSZoning_Int"
"1",904302020,4.90308998699194,879,5220,6,"SWISU",70,1,14,1,1,0,1,0,0,0,3,"Gable",5,3,3,"Wd Sdng","Wd Shng",1,4.4106,"1Fam","RL","BrkTil",830,"GasA",3,0,"Detchd",3,3,"Unf",1,1,2,0,"Normal",0,"1Story",0,1,1,0,8,4,2,4,1,6
"2",532378050,5.08233648709106,1024,13052,8,"Sawyer",41,1,0,1,1,0,4,0,0,0,3,"Gable",5,6,3,"HdBoard","HdBoard",1,4.4106,"1Fam","RL","CBlock",1024,"GasA",3,0,"Attchd",3,3,"Unf",1,1,3,0,"Normal",0,"1Story",0,1.5,1,0,8,5,3,3,1,6
"3",534275010,5.13513265137678,1050,10659,11,"NAmes",45,1,0,1,1,0,1,0,0,0,3,"Hip",5,6,3,"Wd Sdng","Wd Sdng",1,4.4106,"1Fam","RL","CBlock",1050,"GasA",3,0,"Attchd",3,3,"Unf",1,1,3,0,"Normal",0,"1Story",1,2,1,0,8,6,3,3,1,6
"4",531363080,5.14457420760962,1142,7733,13,"SawyerW",1,1,0,1,1,0,1,0,0,0,3,"Gable",6,5,3,"VinylSd","VinylSd",2,4.4106,"1Fam","RL","PConc",1142,"GasA",4,0,"NoGarage",0,0,"NoGarage",0,1,3,0,"Normal",0,"1Story",0,1.5,1,0,8,5,3,5,1,6
"5",535304020,5.14457420760962,1008,12778,11,"NAmes",54,1,51,0,1,0,1,0,0,0,3,"Gable",5,6,3,"MetalSd","MetalSd",1,4.4106,"1Fam","RL","CBlock",1008,"GasA",3,0,"Attchd",3,3,"RFn",1,1,3,0,"Normal",0,"1Story",1,2,1,0,8,4,2,5,1,6
"6",527250040,5.16136800223498,1056,34650,14,"Gilbert",51,1,0,0,2,0,1,0,0,0,3,"Hip",5,5,3,"Wd Sdng","Wd Sdng",2,4.4106,"2fmCon","RL","CBlock",1056,"GasA",3,0,"Attchd",3,3,"Fin",2,1,3,0,"Normal",0,"1Story",1,2,1,0,8,5,3,3,0,6
"7",905200290,5.19033169817029,1803,13125,8,"Sawyer",49,1,43,0,1,0,2,0,0,0,3,"Gable",5,4,3,"Wd Sdng","Wd Sdng",1,4.4106,"1Fam","RL","CBlock",1134,"GasA",3,1,"Attchd",3,3,"RFn",2,1,3,0,"Normal",0,"1Story",1,3,2,3,4,8,3,5,1,6
"8",528275060,5.23653726148869,1664,8121,14,"Gilbert",6,1,0,1,1,0,1,0,0,0,4,"Gable",6,5,3,"VinylSd","VinylSd",1,4.4106,"1Fam","RL","PConc",953,"GasA",3,1,"Attchd",3,3,"RFn",2,1,3,0,"Normal",0,"2Story",0,2.5,2,3,8,7,3,5,1,6
"9",527377030,5.25767857486918,1309,10140,15,"NWAmes",32,1,25,0,1,0,1,0,0,0,3,"Hip",6,6,3,"HdBoard","HdBoard",1,4.4106,"1Fam","RL","CBlock",1040,"GasA",4,1,"Attchd",3,3,"RFn",2,1,3,0,"Normal",0,"1Story",1,2.5,1,2,8,5,3,2,1,6
"10",907196020,5.31175386105575,1541,13704,18,"CollgCr",5,1,1,1,1,0,2,0,0,0,4,"Gable",7,5,4,"VinylSd","VinylSd",1,4.4106,"1Fam","RL","PConc",1541,"GasA",4,1,"Attchd",3,3,"RFn",3,1,3,0,"Normal",0,"1Story",0,2,2,3,8,6,3,5,1,6
"11",916326010,5.35793484700045,1707,16669,22,"Timber",25,1,0,1,1,0,2,0,0,0,4,"Hip",8,6,4,"Plywood","Plywood",1,4.4106,"1Fam","RL","CBlock",1686,"GasA",3,1,"Attchd",3,3,"RFn",2,1,3,0,"Normal",0,"1Story",0,2.5,2,3,8,6,2,3,1,6
