PID,district
909176150,Edwards
905476230,Edwards
911128020,Mitchell
535377150,Meeker
534177230,Fellows
908128060,Edwards
902135020,Meeker
528228540,
923426010,Mitchell
908186050,Edwards
923426070,Mitchell
902204080,Meeker
535105100,Meeker
907405020,Edwards
531382110,Sawyer
906380120,Sawyer
909101060,Edwards
534152050,Fellows
923252075,Mitchell
531376060,Sawyer
902201120,Meeker
923228080,Mitchell
902326030,Meeker
527451330,Meeker
528218100,
916386140,Mitchell
533221090,Fellows
534128010,Fellows
528106110,
902206260,Meeker
528222090,
528218150,
903400180,Meeker
535453210,Meeker
916386010,Mitchell
907181090,Sawyer
902206020,Meeker
527327050,Fellows
527455250,Fellows
528326110,Fellows
914452190,Mitchell
535425060,Meeker
532376250,Sawyer
535379110,Meeker
528118010,
528235160,
905478030,Edwards
902106130,Meeker
902102080,Meeker
909176170,Edwards
533206070,Fellows
527302020,Fellows
907414060,Edwards
904301060,Edwards
532479020,Sawyer
528110070,
534429130,Fellows
528365060,Fellows
533135020,Fellows
910203100,Mitchell
905451390,Edwards
533213010,Fellows
528118030,
907200340,Sawyer
528164060,
907202010,Sawyer
909250060,Edwards
528315060,Fellows
528231020,
528456230,Fellows
907180120,Sawyer
911370410,Mitchell
527108090,
528222050,
902328100,Meeker
527451410,Meeker
914476130,Mitchell
535453020,Meeker
535379100,Meeker
905108190,Sawyer
905201110,Sawyer
903227090,Meeker
905107300,Sawyer
903401070,Meeker
903230100,Meeker
527105010,
528480020,Fellows
527402130,Meeker
909251080,Edwards
908201120,Edwards
533221080,Fellows
535178100,Meeker
535457050,Meeker
923226270,Mitchell
535105090,Meeker
533253070,Fellows
907280170,Edwards
914476450,Mitchell
535327200,Meeker
528441090,Fellows
906426195,Sawyer
534275170,Fellows
923226180,Mitchell
923226320,Mitchell
528118050,
904300150,Edwards
533236050,Fellows
527354160,Fellows
528435040,Fellows
534129230,Fellows
535325350,Meeker
902408080,Meeker
916455050,Mitchell
909276200,Edwards
534277060,Fellows
905107280,Sawyer
923204050,Mitchell
531376050,Sawyer
903454010,Mitchell
906412010,Sawyer
535301060,Meeker
534453080,Fellows
911102180,Mitchell
535403210,Meeker
531382120,Sawyer
916455120,Mitchell
905475510,Edwards
916326090,Mitchell
909101140,Edwards
907260050,Edwards
907131090,Sawyer
903206160,Meeker
528222020,
526352090,Meeker
534201280,Fellows
908102330,Edwards
906385010,Sawyer
534276230,Fellows
906420020,Sawyer
527404120,Meeker
907192010,Edwards
527131030,
527452290,Fellows
907250030,Sawyer
909251040,Edwards
535377100,Meeker
528174050,
533250110,Fellows
908186040,Edwards
903231050,Meeker
908152110,Edwards
535476110,Meeker
533250050,Fellows
535325340,Meeker
909475050,Edwards
907196020,Edwards
533130160,Fellows
535102010,Meeker
531475220,Sawyer
527325070,Fellows
911175440,Mitchell
903226160,Meeker
902134100,Meeker
902111010,Meeker
535381040,Meeker
910202060,Mitchell
535477180,Meeker
908127050,Edwards
528439010,Fellows
906223110,Sawyer
528358010,Fellows
532378160,Sawyer
531450040,Sawyer
527326040,Fellows
903204095,Meeker
905105040,Sawyer
528477020,Fellows
905202210,Sawyer
903425190,Meeker
535150210,Meeker
535453160,Meeker
535353130,Meeker
535456070,Meeker
908250090,Edwards
527452070,Fellows
902325100,Meeker
921126030,Mitchell
905401060,Edwards
916402125,Mitchell
531452010,Sawyer
528363070,Fellows
533208090,Fellows
534401130,Fellows
910203230,Mitchell
907420090,Edwards
902303100,Meeker
906392120,Sawyer
903484080,Mitchell
527301320,Fellows
527140090,
909428170,Edwards
905228050,Sawyer
533234020,Fellows
533212100,Fellows
534475185,Fellows
905452150,Edwards
528176010,
535450160,Meeker
533215040,Fellows
528104010,
535325090,Meeker
909250210,Edwards
527325110,Fellows
910202030,Mitchell
535175180,Meeker
534202160,Fellows
916403020,Mitchell
535354100,Meeker
905227050,Sawyer
534451020,Fellows
533120030,Fellows
905108220,Sawyer
527165170,
535353190,
528315070,Fellows
903232060,Meeker
906204180,Sawyer
906475110,Sawyer
906223040,Sawyer
909253190,Edwards
923400150,Mitchell
923226290,Mitchell
909282020,Edwards
528110110,
534479320,Fellows
528150110,
906380160,Sawyer
911370460,Mitchell
535477090,Meeker
534478230,Fellows
906426060,Sawyer
528235190,
923225440,Mitchell
923276030,Mitchell
909425060,Edwards
902332030,Meeker
527105140,
535477150,Meeker
535327210,Meeker
533213070,Fellows
904100100,Sawyer
528480180,Fellows
528114040,
528235020,
908275110,Edwards
905103140,Sawyer
902402260,Meeker
528235200,
528181060,
923275200,Mitchell
903451110,Mitchell
528181040,
908102110,Edwards
533217050,Fellows
533350090,Sawyer
528445070,Fellows
527212040,
907200270,Sawyer
908201040,Edwards
907410100,Edwards
903481120,Mitchell
535453180,Meeker
907227110,Sawyer
531453010,Sawyer
531478010,Sawyer
535403200,Meeker
527254020,
527366030,Fellows
535325460,Meeker
528110040,
906392090,Sawyer
535452140,Meeker
535151160,Meeker
903429110,Meeker
916455150,Mitchell
909425180,Edwards
528175050,
910205010,Mitchell
533206020,Fellows
902427040,Meeker
528427020,Fellows
528458070,Fellows
903401030,Meeker
909275040,Edwards
527163130,
905200350,Sawyer
528363050,Fellows
903233140,Meeker
905107070,Sawyer
528240020,
906225180,Sawyer
528114010,
907126030,Sawyer
904100160,Sawyer
909254130,Edwards
535403030,Meeker
907412010,Edwards
903228080,Meeker
531452100,Sawyer
526302030,Meeker
902106090,Meeker
527161090,
532353120,Sawyer
535453070,Meeker
534252110,Fellows
535327230,Meeker
905425125,Edwards
908103280,Edwards
528221060,
921128020,Mitchell
528174040,
909256010,Edwards
533212060,Fellows
908204180,Edwards
533223100,Fellows
909176180,Edwards
903475040,
535426195,Meeker
905103040,Sawyer
528110100,
534431030,Fellows
905300010,Sawyer
914474070,Mitchell
534428100,Fellows
533350050,Sawyer
908188130,Edwards
534453150,Fellows
528458120,Fellows
535179050,Meeker
527302185,Fellows
534128190,Fellows
528180110,
916176125,Mitchell
903454090,Mitchell
535457010,Meeker
528462040,Fellows
909428120,
916460060,Mitchell
528431050,Fellows
527110020,
535352080,Meeker
527402250,Meeker
535451040,Meeker
905452050,Edwards
903225090,Meeker
531363010,Sawyer
923205025,Mitchell
532377060,Sawyer
902109160,Meeker
902128075,Meeker
528178070,
903225160,Meeker
906380170,Sawyer
528174020,
910201110,Mitchell
535325400,Meeker
535150070,Meeker
533254100,Fellows
533254130,Fellows
907194110,Edwards
531375100,Sawyer
532477030,Sawyer
534102025,Fellows
905452160,Edwards
533208050,Fellows
905427030,Edwards
535301010,Meeker
909280030,Edwards
528116010,
528228270,
907252210,Edwards
909475020,Edwards
907253110,Edwards
535325280,Meeker
532378240,Sawyer
908102260,Edwards
908226180,Edwards
527425060,
527451540,Meeker
902128170,Meeker
903455090,Mitchell
910203250,Mitchell
903228070,Meeker
527214060,
528427010,Fellows
535451250,Meeker
908152270,Edwards
909452050,Edwards
532354160,Sawyer
531453100,Sawyer
527328050,
907418010,Edwards
528344020,Fellows
532353180,Sawyer
902106070,Meeker
528221050,
534479300,Fellows
906223060,Sawyer
535105060,Meeker
528108040,
909279010,Edwards
527183030,
527276160,
902207130,Meeker
903227020,Meeker
908203100,Edwards
534152120,Fellows
907290240,Sawyer
528478030,Fellows
910201180,Mitchell
533208140,Fellows
528166150,
905107140,Sawyer
527180100,
528458080,Fellows
905101450,Sawyer
914460110,Mitchell
534400290,Fellows
907254020,Edwards
528458030,Fellows
528480060,Fellows
905226050,Sawyer
528253010,
528228345,
527425140,
907135020,Sawyer
533206040,Fellows
535181140,Meeker
902427045,Meeker
527405130,Meeker
528431040,Fellows
527450210,Meeker
532378200,Sawyer
909278020,Edwards
534225110,Fellows
528142020,
527404030,Meeker
527162180,
534151180,Fellows
908204090,Edwards
532354070,Sawyer
527302070,Fellows
527214030,
902330010,Meeker
923228150,Mitchell
527302080,Fellows
528344040,Fellows
535403040,Meeker
535375050,Meeker
535376060,Meeker
924151040,Mitchell
532351150,Sawyer
905105010,Sawyer
527452310,Fellows
909250200,Edwards
905101300,Sawyer
902329080,Meeker
903225140,Meeker
533215080,Fellows
534452060,
532476050,Sawyer
909428110,
528170040,
533110130,Fellows
921205030,Mitchell
923203090,Mitchell
535104120,Meeker
528366070,Fellows
923204040,Mitchell
535378080,Meeker
533251130,Fellows
528235130,
903226130,Meeker
903235020,Meeker
527425110,
902327070,Meeker
903425270,Meeker
534127230,Fellows
914478100,Mitchell
535301150,Meeker
903225150,Meeker
527402220,Meeker
904351240,Edwards
535452090,Meeker
528108020,
528427070,Fellows
902125020,Meeker
910201050,Mitchell
527425090,
909277100,Edwards
531452070,Sawyer
528387050,Fellows
905480240,Edwards
535476350,Meeker
906394060,Sawyer
909282030,Edwards
905225040,Sawyer
908275130,Edwards
527226040,
903458110,Mitchell
535425080,Meeker
907201220,Sawyer
903426160,Meeker
905478140,Edwards
906475070,Sawyer
907414070,Edwards
914476050,Mitchell
923251180,Mitchell
528235090,
527355150,Fellows
527454130,Fellows
533215020,Fellows
526302120,Meeker
532378220,Sawyer
907420110,Edwards
527354100,Fellows
535404080,Meeker
906223090,Sawyer
527450080,Meeker
923275040,Mitchell
906477110,Sawyer
908103310,Edwards
531477040,Sawyer
534176230,Fellows
907187060,Sawyer
528385050,Fellows
908204160,Edwards
924100020,Mitchell
907401080,Edwards
528108120,
916403230,Mitchell
903236040,Meeker
903475060,Mitchell
527302090,Fellows
923230120,Mitchell
534403420,Fellows
1007100110,Mitchell
907290090,Edwards
907203090,Sawyer
905102060,Sawyer
907275150,Edwards
535152150,Meeker
528365090,Fellows
910200080,Mitchell
923225080,Mitchell
906402200,Sawyer
921128050,Mitchell
909250160,Edwards
908225170,Edwards
906380060,Sawyer
527175130,
528480110,Fellows
528150070,
923400040,Mitchell
910205020,Mitchell
535103050,Meeker
528240150,
906226120,Sawyer
535327140,Meeker
528427040,Fellows
528435020,Fellows
534431130,Fellows
923203110,Mitchell
527356020,Fellows
527252090,
527258020,
533253060,Fellows
905107380,Sawyer
531375040,Sawyer
535355100,Meeker
907192120,Edwards
528138010,
908229020,Edwards
528480090,Fellows
527108070,
906226060,Sawyer
908275290,Edwards
531375070,Sawyer
528480070,Fellows
905300080,Sawyer
907203040,Sawyer
535450180,Meeker
531382070,Sawyer
527216080,
906394050,Sawyer
527252070,
534250010,Fellows
904100090,Sawyer
905453040,Edwards
527326150,Fellows
909101050,Edwards
923203140,Mitchell
906230020,Sawyer
528218060,
906380040,Sawyer
528228360,
532377130,Sawyer
903400030,Meeker
535453200,Meeker
528240080,
534476320,Fellows
902125080,Meeker
528327010,Fellows
916455070,Mitchell
535350030,Meeker
905226170,Sawyer
528488140,Fellows
528228580,
527453130,Fellows
534127210,Fellows
531452020,Sawyer
911175430,Mitchell
531452180,Sawyer
902300110,Meeker
924152030,Mitchell
528439080,Fellows
908151040,Edwards
528390020,Fellows
531453140,Sawyer
905226110,Sawyer
531363080,Sawyer
527450520,Meeker
534252040,Fellows
527453140,Fellows
531385020,Sawyer
534151175,Fellows
914452060,Mitchell
535426130,Meeker
905200220,Sawyer
903425280,Meeker
527326130,Fellows
902105110,Meeker
528477050,Fellows
909282130,
534402170,Fellows
528228340,
911128180,Mitchell
527404020,Meeker
908103350,Edwards
527126030,
916475040,Mitchell
905452110,Edwards
533208020,Fellows
902103120,Meeker
527359180,Fellows
535475020,Meeker
923227100,Mitchell
528150090,
914475030,Mitchell
923225240,Mitchell
527108060,
528482090,Fellows
527358060,Fellows
903235100,Meeker
903225040,Meeker
905453080,Edwards
903227080,Meeker
908102140,Edwards
534275060,Fellows
907202080,Sawyer
532351090,Sawyer
923226300,Mitchell
907180130,Sawyer
907412040,Edwards
535456100,Meeker
528172020,
907175080,Sawyer
534427140,Fellows
905200010,Sawyer
528228555,
905300020,Sawyer
533253030,Fellows
923228250,Mitchell
534128100,Fellows
908103090,Edwards
531369010,Sawyer
535426350,Meeker
527210050,
923225190,Mitchell
923228210,Mitchell
902401090,Meeker
528174080,
910200040,Mitchell
528294060,
902128150,Meeker
535451010,Meeker
533221060,Fellows
535175050,Meeker
905104210,Sawyer
907275080,Edwards
907285080,Edwards
907285050,Edwards
528118040,
907255050,Edwards
905105190,Sawyer
923201100,Mitchell
528120030,
907135170,Sawyer
535478010,Meeker
535180120,Meeker
534426110,Fellows
535403150,Meeker
531376010,Sawyer
911102170,Mitchell
905475520,Edwards
907175030,Sawyer
527212050,
902201110,Meeker
906201030,Sawyer
535325130,Meeker
533213040,Fellows
527352150,Fellows
903226060,Meeker
923227080,Mitchell
907252060,Edwards
528102010,
533208040,Fellows
534128090,Fellows
908103260,Edwards
903231180,Meeker
533206050,Fellows
535403280,Meeker
907192030,Edwards
914465060,Mitchell
903228120,Meeker
903229040,Meeker
535101120,Meeker
527180040,
902110080,Meeker
902405120,Meeker
924100070,Mitchell
903454020,Mitchell
527110120,
902136110,Meeker
907130060,Sawyer
526350040,Meeker
535352090,Meeker
907295100,Sawyer
528431060,Fellows
535126040,Meeker
534477110,Fellows
528222010,
923203010,Mitchell
535154060,Meeker
533125120,Fellows
902301150,Meeker
533250160,Fellows
528106010,
532376040,Sawyer
535151130,Meeker
528240070,
527184020,
907135230,Sawyer
527402150,Meeker
532378070,Sawyer
910201020,Mitchell
905103060,Sawyer
923228110,Mitchell
904100170,Sawyer
533242090,Fellows
528456180,Fellows
907285100,Edwards
535104020,Meeker
528439040,Fellows
908225320,Edwards
527216070,
527451290,Meeker
907410050,Edwards
909254050,Edwards
531373060,Sawyer
534451130,Fellows
902206220,Meeker
527164020,
527107130,
923225200,Mitchell
909251030,Edwards
907194130,Edwards
907250070,Edwards
903454080,Mitchell
534250335,Fellows
528108130,
923230010,Mitchell
909281030,Edwards
527451320,Meeker
535303110,Meeker
528456200,Fellows
528120010,
902207170,Meeker
923204140,Mitchell
906223080,Sawyer
532378050,Sawyer
906204140,Sawyer
923202137,Mitchell
907280040,Edwards
528170070,
902300260,Meeker
911226010,Mitchell
535375160,Meeker
527405160,Meeker
534200030,Fellows
528186110,
527450110,Meeker
528292030,
535177020,Meeker
535478110,Meeker
528142070,
527276040,
908127070,Edwards
908186090,Edwards
916403290,Mitchell
528327070,Fellows
535453040,Meeker
923276180,Mitchell
534430110,Fellows
907187030,Sawyer
535383120,Meeker
902205070,Meeker
535453100,Meeker
528488100,Fellows
534403370,Fellows
535455080,Meeker
532479120,Sawyer
531452260,Sawyer
528488130,Fellows
923229010,Mitchell
528382020,Fellows
914478045,Mitchell
535478040,Meeker
907227080,Sawyer
532376090,Sawyer
907196050,Sawyer
907265100,Edwards
528114050,
907260030,Edwards
905200510,Sawyer
527106050,
527325160,Fellows
535403190,Meeker
907410040,Edwards
531384070,Sawyer
528290170,
903457130,Mitchell
902402250,Meeker
533223050,Fellows
527376090,Fellows
528168040,
528174070,
527106140,
909281080,
534250410,Fellows
907200250,Sawyer
