,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,DateSold,IsPUD,IsNearNegativeCondition,IsNearPositiveCondition,NumFloors,Collapse_MSSubClass,Combine_BathroomsBsmt,Combine_BathroomsAbvGrd,AllBathrooms,Combine_Age,IsRenovated,LogSalePrice,latitude,longitude,district
0,909176150,856,126000,Dwelling_30,RL,66.0,7890,2,0,4,Lvl,4,Corner,3,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,238.0,1,0.0,618.0,856.0,GasA,3,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,8,1,4,Detchd,1939.0,Unf,2.0,399.0,3,3,3,0,0,0,0,166,0,0,NoFence,NoMisc,0,March,Yr_2010,WD ,Normal,2010-03-01,False,False,False,1.0,Traditional,1.0,1.0,2.0,60,True,11.744037185933614,42.01856448979592,-93.65161918367347,Edwards
1,905476230,1049,139500,Dwelling_120,RL,42.0,4235,2,0,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,3,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,8,0,0,Attchd,1984.0,Fin,1.0,266.0,3,3,3,0,105,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2009,WD ,Normal,2009-02-01,True,False,False,1.0,Traditional,1.0,2.0,3.0,25,False,11.845819880243559,42.02485531593042,-93.66367099341755,Edwards
2,911128020,1001,124900,Dwelling_30,C (all),60.0,6060,2,0,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,5,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,8,0,0,Detchd,1930.0,Unf,1.0,216.0,3,1,1,154,0,42,86,0,0,0,NoFence,NoMisc,0,November,Yr_2007,WD ,Normal,2007-11-01,False,False,False,1.0,Traditional,0.0,1.0,1.0,0,True,11.735268696113668,42.021547615297024,-93.61406809992512,Mitchell
3,535377150,1039,114000,Dwelling_70,RL,80.0,8146,2,0,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,4,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,8,0,0,Detchd,1940.0,Unf,1.0,281.0,3,3,1,0,0,168,0,111,0,0,NoFence,NoMisc,0,May,Yr_2009,WD ,Normal,2009-05-01,False,False,False,2.0,Traditional,0.0,1.0,1.0,6,True,11.643953727376632,42.03739146938776,-93.61220695918368,Meeker
4,534177230,1665,227000,Dwelling_60,RL,70.0,8400,2,0,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,643.0,1,0.0,167.0,810.0,GasA,5,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,8,0,0,Attchd,2001.0,Fin,2.0,528.0,3,3,3,0,45,0,0,0,0,0,NoFence,NoMisc,0,November,Yr_2009,WD ,Normal,2009-11-01,False,False,False,2.0,Traditional,1.0,2.5,3.5,8,False,12.33270529646354,42.04455376067282,-93.63181831620726,Fellows
5,908128060,1922,198500,Dwelling_85,RL,64.0,7301,2,0,4,Lvl,4,Corner,3,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,8,1,5,BuiltIn,2003.0,RFn,2.0,672.0,3,3,3,0,0,177,0,0,0,0,NoFence,NoMisc,0,July,Yr_2009,ConLD,Normal,2009-07-01,False,False,False,1.5,Split,0.0,3.0,3.0,6,False,12.198544379109382,42.01900877172312,-93.67298690279816,Edwards
6,902135020,936,93000,Dwelling_20,RM,60.0,6000,2,2,4,Bnk,4,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,3,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,6,0,0,Detchd,1974.0,Unf,2.0,576.0,3,3,3,0,32,112,0,0,0,0,NoFence,NoMisc,0,February,Yr_2009,WD ,Normal,2009-02-01,False,False,False,1.0,Traditional,0.0,1.0,1.0,56,False,11.440354772135393,42.031162,-93.61256091846626,Meeker
7,528228540,1246,187687,Dwelling_20,RL,53.0,3710,2,0,4,Lvl,4,Inside,3,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,4,3,PConc,4,3,4,1,0.0,1,0.0,1146.0,1146.0,GasA,5,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,4,5,8,1,4,Attchd,2007.0,Fin,2.0,428.0,3,3,3,100,24,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2008,New,Partial,2008-03-01,False,False,False,1.0,Traditional,0.0,2.0,2.0,0,True,12.142530960719474,42.06328412279648,-93.6415688852472,
8,923426010,889,137500,Dwelling_20,RL,74.0,12395,2,0,4,Lvl,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,647.0,1,0.0,217.0,864.0,GasA,3,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1984.0,Unf,2.0,484.0,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,April,Yr_2008,WD ,Normal,2008-04-01,False,False,False,1.0,Traditional,0.0,1.0,1.0,24,False,11.831379196088763,41.98649573595674,-93.6036188257733,Mitchell
9,908186050,1072,140000,Dwelling_180,RM,35.0,3675,2,0,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4,3,4,6,467.0,1,0.0,80.0,547.0,GasA,5,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,8,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,3,0,44,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2007,WD ,Normal,2007-05-01,True,False,False,2.0,Split,1.0,1.0,2.0,2,False,11.849397701591442,42.0189558314751,-93.6688922777322,Edwards
